customer_id,age,gender,annual_income,last_visited_days_ago,session_duration,pages_visited,device,purchase
68,34,male,24521,18,16,13,desktop,1
69,53,female,134693,15,26,9,mobile,1
70,67,male,28382,0,23,,tablet,0
71,57,female,,30,57,7,desktop,0
72,21,male,35065,19,33,20,desktop,0
73,19,male,,19,42,16,mobile,0
74,23,male,34425,9,57,,mobile,0
75,59,male,33111,1,30,7,tablet,0
76,21,male,191871,,23,6,desktop,1
77,46,male,73257,7,10,2,tablet,0
78,35,female,143990,5,36,7,mobile,0
79,43,male,147813,27,31,9,desktop,1
80,61,female,101046,2,43,13,mobile,0
81,51,female,57851,30,60,17,desktop,0
82,27,male,28816,15,22,17,tablet,0
83,53,male,22175,16,,15,desktop,0
84,31,female,31341,11,43,18,mobile,1
85,48,male,83908,26,54,15,desktop,0
86,65,nan,176726,18,38,11,tablet,0
87,32,male,79696,23,47,12,mobile,0
88,25,male,103115,19,,17,tablet,1
89,31,male,50194,2,53,12,desktop,0
90,40,male,185909,12,23,7,desktop,1
91,57,male,104358,15,54,7,desktop,0
92,38,female,192648,10,,10,desktop,0
93,33,male,122548,19,,16,mobile,0
94,62,female,170799,26,60,11,desktop,1
95,35,nan,,15,37,16,mobile,0
96,64,female,116554,30,32,2,mobile,0
97,70,nan,167627,19,56,2,mobile,0
98,41,male,,1,43,18,desktop,0
99,43,female,69777,,53,5,desktop,0
100,42,nan,,26,,14,tablet,0
101,62,nan,60751,27,58,8,desktop,0
102,58,female,,24,35,6,desktop,0
103,46,female,94180,3,41,9,desktop,1
104,32,male,51644,27,59,6,mobile,1
105,62,male,53521,16,3,17,tablet,0
106,18,female,31564,0,34,8,desktop,0
107,42,male,125155,0,38,3,tablet,0
108,24,male,178371,29,24,12,mobile,0
109,26,female,199030,4,38,13,tablet,1
110,,female,164493,21,17,18,tablet,0
111,18,female,108747,11,40,11,tablet,1
112,61,male,31202,5,,2,tablet,0
113,25,nan,129407,5,57,14,tablet,0
114,41,male,193257,24,8,1,mobile,0
115,28,male,154757,16,54,15,desktop,0
116,,male,110197,,15,18,tablet,1
117,34,female,62637,21,,18,mobile,1
118,25,male,,12,,17,mobile,0
119,52,female,44276,7,25,1,desktop,0
120,52,female,100946,23,8,14,mobile,0
121,50,nan,199311,11,52,20,desktop,0
122,22,female,95214,14,,16,tablet,0
123,59,female,175647,30,50,4,mobile,0
124,56,male,192473,18,13,,mobile,0
125,58,male,61230,28,46,16,mobile,1
126,45,male,144086,20,15,20,tablet,0
127,24,male,149526,25,6,6,desktop,0
128,26,male,174093,,,15,desktop,0
129,25,female,160521,27,7,1,mobile,1
130,,female,166729,16,33,7,mobile,1
131,51,male,55059,8,47,11,tablet,1
132,50,male,,20,29,1,tablet,0
133,65,male,122666,17,38,8,desktop,1
134,40,female,101551,,37,14,mobile,0
135,41,female,,1,44,5,mobile,0
136,54,female,91880,,32,,mobile,1
137,,male,126734,22,58,15,mobile,1
138,61,male,133997,19,3,9,tablet,0
139,57,male,185278,16,54,8,tablet,0
140,39,nan,,20,20,19,desktop,0
141,44,female,133123,17,14,17,mobile,1
142,52,male,175622,14,28,19,tablet,1
143,18,male,157461,6,38,18,mobile,0
144,52,male,107897,15,,18,desktop,1
145,54,female,186919,30,15,4,mobile,0
146,64,female,124599,24,17,2,tablet,1
147,31,male,99239,28,37,5,tablet,1
148,,female,38642,0,24,17,desktop,0
149,18,female,,27,38,7,desktop,0
150,22,female,56509,17,42,16,mobile,0
151,43,female,99417,26,41,1,mobile,0
152,31,female,69237,,36,12,tablet,1
153,56,male,166486,7,58,19,tablet,0
154,44,male,83176,,41,,tablet,0
155,26,male,148633,24,8,,desktop,1
156,32,female,99865,29,3,7,desktop,0
157,32,nan,137181,,30,15,desktop,0
158,43,female,82059,11,22,12,mobile,0
159,59,female,69150,15,,4,desktop,1
160,,male,108367,8,33,6,mobile,1
161,68,male,61091,19,25,6,mobile,0
162,49,male,20903,10,52,15,mobile,1
163,56,nan,74235,14,59,3,desktop,1
164,66,male,75342,2,30,2,tablet,1
165,,nan,,22,37,5,desktop,0
166,49,female,55572,20,3,,desktop,0
167,21,female,37610,12,4,19,desktop,0
168,,male,54052,20,29,16,mobile,1
169,54,female,,27,57,19,tablet,0
170,40,male,107063,12,,16,desktop,0
171,56,nan,188622,1,23,6,desktop,0
172,62,female,180083,5,56,1,mobile,1
173,32,male,185836,5,19,18,desktop,0
174,60,male,117540,11,15,8,desktop,1
175,46,nan,73533,3,51,5,mobile,0
176,,nan,175136,4,16,12,desktop,0
177,30,female,143989,22,23,18,tablet,0
178,49,female,140388,29,40,5,mobile,0
179,24,female,48702,7,46,13,tablet,0
180,68,male,,5,37,12,desktop,1
181,39,female,28631,20,,,mobile,0
182,45,female,107388,,19,14,mobile,0
183,19,female,,2,37,11,desktop,0
184,59,male,90043,22,35,,tablet,0
185,62,female,180053,7,30,10,desktop,0
186,70,female,55764,18,17,16,mobile,1
187,23,male,149014,,,,mobile,0
188,45,male,133076,,49,10,mobile,0
189,45,male,119007,17,26,4,desktop,0
190,61,male,44940,9,13,,desktop,0
191,61,female,127418,25,54,11,desktop,0
192,37,male,91792,27,22,6,tablet,0
193,47,female,179504,19,46,4,tablet,1
194,28,female,,11,23,5,tablet,0
195,45,female,131764,19,44,18,mobile,1
196,,female,,,43,3,tablet,0
197,56,female,28573,28,33,7,mobile,0
198,50,male,35582,,27,12,tablet,0
199,18,female,156450,18,35,3,tablet,0
200,44,female,85296,20,12,17,mobile,0
201,69,female,164572,15,9,3,desktop,0
202,30,nan,85841,26,34,11,tablet,0
203,58,female,41881,20,14,6,mobile,0
204,20,nan,90233,17,37,11,desktop,0
205,56,male,85285,8,3,,desktop,1
206,23,female,79547,3,44,17,desktop,0
207,,female,,8,44,1,mobile,0
208,44,male,27933,24,21,12,tablet,0
209,26,female,103385,1,7,3,tablet,0
210,54,female,118706,8,33,16,tablet,0
211,50,female,158012,8,35,3,desktop,0
212,68,female,104590,17,11,14,tablet,0
213,59,female,126399,10,,17,mobile,1
214,61,male,79145,12,32,19,tablet,1
215,41,male,194682,5,22,7,tablet,1
216,32,male,77520,8,55,11,tablet,1
217,49,female,24544,15,42,16,tablet,1
218,49,female,74812,3,19,,mobile,0
219,41,female,190690,,36,5,tablet,0
220,58,male,,6,54,1,desktop,1
221,69,female,119054,14,37,,tablet,0
222,66,female,176516,24,11,18,desktop,0
223,66,female,175861,5,41,10,desktop,0
224,69,male,152689,10,13,1,desktop,0
225,29,male,120834,26,28,13,mobile,0
226,56,female,,29,49,4,desktop,0
227,19,female,60002,,15,,desktop,0
228,20,female,151583,16,13,16,tablet,0
229,66,male,132850,3,53,19,mobile,1
230,54,male,150011,18,43,12,mobile,0
231,66,male,188922,6,33,6,mobile,1
232,34,female,141548,,,16,desktop,1
233,66,male,51786,12,55,12,desktop,0
234,19,female,56244,26,32,10,desktop,1
235,,female,87261,25,37,5,tablet,0
236,45,male,38477,,54,19,desktop,1
237,40,female,197605,27,48,12,mobile,0
238,54,male,185541,2,4,8,tablet,1
239,49,female,28496,,57,4,tablet,1
240,50,female,140522,1,51,7,mobile,0
241,18,male,163342,28,18,5,desktop,1
242,36,female,40724,17,23,11,tablet,0
243,19,female,50416,4,,,mobile,0
244,70,female,55575,12,2,3,desktop,1
245,61,female,96614,12,13,2,tablet,1
246,43,nan,113566,23,16,,tablet,0
247,49,female,168480,23,54,2,tablet,1
248,23,female,147192,13,59,14,tablet,0
249,49,female,39359,,8,1,tablet,0
250,21,male,159770,20,19,16,desktop,0
251,28,nan,190564,12,,15,mobile,1
252,,female,63634,17,3,18,tablet,0
253,55,nan,137255,,51,2,mobile,1
254,41,male,62864,3,49,11,mobile,1
255,22,female,,,32,17,mobile,1
256,,male,57355,29,41,13,desktop,0
257,51,male,57690,21,21,12,mobile,0
258,23,male,188886,9,25,,mobile,0
259,39,female,182717,22,53,18,mobile,0
260,28,female,76630,4,55,10,tablet,1
261,65,female,199243,17,17,,tablet,0
262,33,nan,41658,7,25,17,mobile,0
263,50,male,35797,13,33,14,desktop,1
264,26,male,78799,27,31,19,tablet,1
265,23,female,138301,1,36,13,tablet,0
266,33,male,72236,27,23,3,mobile,0
267,46,male,26265,7,,8,mobile,1
268,20,female,145611,15,47,5,desktop,0
269,37,male,141754,30,44,12,tablet,0
270,53,male,178070,6,25,1,mobile,1
271,36,female,,2,49,16,tablet,0
272,43,nan,165378,28,44,12,mobile,0
273,20,male,198417,,48,17,mobile,0
274,36,female,162957,28,30,9,desktop,1
275,37,male,129681,6,13,13,tablet,1
276,49,female,63826,3,43,4,tablet,1
277,24,male,75597,8,47,4,mobile,0
278,69,female,158515,22,29,15,desktop,0
279,58,male,,16,16,10,desktop,0
280,50,female,37084,16,38,6,desktop,0
281,,female,109447,30,27,3,tablet,1
282,,nan,24383,19,26,,mobile,0
283,35,female,112313,13,11,6,mobile,0
284,,female,54361,13,47,11,desktop,1
285,18,nan,100294,28,37,2,desktop,1
286,28,female,81331,24,3,2,desktop,0
287,45,male,115057,12,26,1,tablet,1
288,42,nan,,3,34,,mobile,0
289,67,female,141685,12,,5,desktop,0
290,40,female,116917,20,15,6,desktop,1
291,48,male,,,2,3,mobile,1
292,47,male,21908,14,28,20,tablet,0
293,,female,181430,29,20,5,tablet,0
294,52,male,50412,17,38,20,tablet,0
295,24,male,148319,10,44,9,mobile,0
296,33,female,103710,3,53,19,tablet,1
297,,female,22928,27,16,5,desktop,0
298,65,female,85158,19,46,12,tablet,0
299,69,nan,181704,10,4,12,mobile,0
300,66,female,52309,9,8,16,tablet,1
301,19,female,29280,21,44,7,mobile,0
302,,nan,60449,12,55,14,mobile,1
303,65,female,46957,21,46,9,tablet,0
304,,male,187967,7,20,15,desktop,0
305,22,male,,27,26,11,mobile,1
306,54,male,113057,12,32,,tablet,0
307,,male,130065,8,13,11,mobile,0
308,26,male,172767,,5,,tablet,0
309,58,male,94893,,44,6,desktop,1
310,,female,45176,0,42,17,mobile,1
311,,female,169481,,53,9,desktop,1
312,65,female,76967,21,51,,desktop,0
313,33,male,20987,3,13,6,desktop,1
314,,female,116854,26,41,4,desktop,0
315,37,nan,46015,19,11,20,desktop,0
316,41,female,132350,0,37,11,tablet,0
317,50,male,86404,24,60,3,desktop,1
318,41,female,136751,11,32,18,tablet,0
319,69,male,148807,10,45,16,desktop,0
320,28,female,188218,18,42,16,desktop,0
321,66,male,68231,14,18,,mobile,1
322,25,female,180104,20,29,,tablet,0
323,53,male,48305,9,15,9,desktop,1
324,,female,74306,0,20,7,desktop,1
325,57,female,141139,23,44,14,desktop,1
326,37,nan,38318,2,36,20,tablet,0
327,52,male,,13,5,20,tablet,1
328,65,male,,14,40,10,tablet,0
329,42,nan,183674,0,37,,mobile,0
330,52,male,41584,9,33,7,mobile,1
331,42,male,35169,21,18,19,desktop,0
332,46,nan,45968,,19,19,tablet,1
333,35,male,157457,30,51,11,tablet,1
334,,female,142684,14,,6,mobile,1
335,,female,135391,2,42,8,desktop,0
336,19,male,45444,20,22,,tablet,1
337,52,female,126081,19,41,8,tablet,0
338,33,male,82497,22,58,5,desktop,0
339,58,male,25362,21,1,10,mobile,1
340,53,male,119254,11,54,2,mobile,1
341,50,female,159322,18,25,4,tablet,0
342,21,male,,15,20,2,desktop,1
343,50,male,56368,26,,15,desktop,1
344,31,male,,7,35,20,desktop,1
345,38,female,47426,23,45,10,tablet,0
346,65,male,137632,,6,2,mobile,1
347,37,female,132637,17,6,6,mobile,0
348,25,female,59023,22,50,14,mobile,0
349,24,male,142268,29,,5,mobile,1
350,20,female,,0,49,,mobile,0
351,34,female,129211,1,57,14,tablet,0
352,,male,114897,23,57,13,tablet,0
353,65,male,167079,11,3,2,mobile,0
354,29,male,99777,16,37,9,mobile,0
355,68,female,64858,1,31,3,tablet,1
356,39,nan,,27,35,15,mobile,1
357,39,female,110042,16,55,3,mobile,0
358,63,female,103098,20,45,,mobile,0
359,47,nan,40239,6,15,6,desktop,0
360,,nan,,5,17,19,mobile,0
361,55,female,130951,5,15,17,desktop,1
362,62,male,61291,,5,6,mobile,0
363,68,male,58805,7,,,mobile,0
364,25,female,118831,4,46,,tablet,1
365,44,female,169515,14,11,16,tablet,0
366,44,male,29290,25,28,8,tablet,0
367,51,male,151283,,14,,desktop,1
368,38,female,103634,2,39,8,desktop,0
369,47,female,39072,24,3,20,mobile,1
370,50,male,63290,9,55,15,desktop,0
371,45,male,105186,,52,8,tablet,1
372,64,female,35115,29,42,3,desktop,0
373,50,male,25149,13,11,16,mobile,0
374,22,male,61992,21,30,3,desktop,0
375,65,nan,37716,2,38,1,tablet,0
376,,female,117724,0,5,8,mobile,0
377,21,female,33621,0,52,9,desktop,0
378,52,male,157892,18,22,12,mobile,0
379,,female,133065,3,13,18,mobile,1
380,34,male,193872,29,44,17,desktop,0
381,61,female,50399,1,51,8,mobile,0
382,45,female,139374,24,51,20,desktop,0
383,,male,165074,30,21,11,tablet,1
384,46,male,63098,10,59,,tablet,0
385,63,female,65511,23,37,14,desktop,0
386,70,female,,,25,10,desktop,0
387,23,male,135131,12,52,15,mobile,0
388,52,female,48750,15,21,12,desktop,0
389,58,male,168382,15,28,,mobile,1
390,54,male,,18,41,17,tablet,1
391,41,female,64345,22,4,8,desktop,0
392,46,male,113430,,,14,tablet,0
393,66,male,134921,20,47,15,desktop,0
394,63,male,111729,19,35,11,tablet,0
395,70,female,71843,8,23,12,desktop,0
396,48,male,161294,15,7,20,desktop,0
397,52,female,182581,26,,16,mobile,0
398,50,female,151458,6,52,20,mobile,0
399,69,female,84334,12,52,18,desktop,0
400,38,male,87170,3,46,10,mobile,1
401,,male,60878,12,46,,desktop,0
402,40,female,189421,7,9,18,desktop,0
403,,female,173024,1,58,1,tablet,0
404,20,male,110352,6,23,,mobile,0
405,35,female,172601,10,3,,mobile,0
406,42,female,192593,16,9,1,tablet,0
407,59,male,38383,23,53,8,desktop,0
408,48,female,155973,28,4,17,mobile,1
409,20,male,62889,13,49,8,desktop,1
410,,male,34633,27,25,5,mobile,0
411,63,female,82244,29,6,1,mobile,0
412,41,male,,12,48,15,desktop,1
413,67,male,170235,14,59,4,desktop,1
414,49,nan,161779,21,18,7,mobile,0
415,64,nan,103597,27,45,14,tablet,1
416,39,female,196173,20,7,12,tablet,0
417,40,female,195778,24,35,3,tablet,1
418,19,male,35115,8,31,,tablet,0
419,44,male,95379,2,38,18,tablet,0
420,,female,59979,24,56,8,desktop,0
421,19,female,191713,12,32,2,mobile,0
422,43,male,89377,30,35,6,tablet,0
423,34,female,26416,12,28,7,mobile,0
424,,female,161705,8,44,7,desktop,0
425,50,female,148785,17,5,13,mobile,0
426,,female,151666,4,30,1,desktop,1
427,60,female,165465,10,22,8,mobile,1
428,65,nan,186452,1,17,13,mobile,0
429,56,female,196128,16,10,20,desktop,0
430,46,female,150364,22,7,19,mobile,0
431,59,male,117507,19,4,17,desktop,0
432,43,male,138243,20,,13,mobile,1
433,52,male,155933,3,27,,mobile,0
434,67,nan,123070,21,7,15,tablet,0
435,42,female,56126,26,23,11,mobile,1
436,41,nan,100382,17,11,,tablet,0
437,,female,184754,23,53,3,tablet,1
438,24,female,38228,19,8,9,desktop,0
439,,male,44009,7,8,14,desktop,0
440,62,nan,20094,18,37,7,mobile,0
441,37,nan,100636,11,5,11,desktop,1
442,18,female,118453,27,7,10,tablet,1
443,25,female,168502,10,22,3,mobile,0
444,,female,186643,15,36,19,desktop,0
445,33,male,74486,4,2,2,desktop,0
446,31,female,110510,,24,17,desktop,0
447,29,male,40860,2,51,2,tablet,1
448,68,male,92812,11,2,16,desktop,1
449,40,male,86087,,48,17,mobile,1
450,32,nan,159558,15,12,10,mobile,0
451,45,nan,69607,12,47,,mobile,0
452,51,female,160817,6,42,11,tablet,0
453,19,female,126664,,55,17,desktop,0
454,49,female,,2,26,12,mobile,0
455,40,nan,140803,30,38,10,desktop,0
456,39,male,191150,11,56,16,desktop,0
457,68,male,63336,7,45,4,mobile,0
458,42,female,28070,24,6,3,tablet,0
459,39,male,21320,28,23,9,mobile,0
460,39,male,109043,11,2,6,mobile,0
461,66,male,,,26,12,tablet,0
462,69,male,26589,2,14,1,desktop,1
463,59,female,112995,11,18,14,desktop,0
464,23,male,35589,28,,10,tablet,0
465,32,male,56375,22,57,18,mobile,0
466,60,female,63085,20,32,,tablet,0
467,,nan,80840,25,51,9,mobile,0
468,50,female,194272,22,59,19,tablet,0
469,25,male,118704,1,58,4,desktop,1
470,,male,177804,13,14,3,tablet,1
471,61,male,,13,30,6,tablet,0
472,61,nan,,3,13,9,mobile,0
473,22,female,50982,16,40,10,mobile,0
474,56,male,79720,14,31,9,mobile,0
475,21,male,,15,37,17,tablet,0
476,23,nan,48514,4,45,10,tablet,0
477,62,female,154923,23,38,6,mobile,0
478,49,female,170868,16,22,16,desktop,1
479,69,male,96034,22,59,17,mobile,0
480,47,male,118388,6,28,11,tablet,0
481,64,male,185664,22,58,20,tablet,0
482,52,male,64845,14,59,7,mobile,1
483,57,male,167002,16,19,4,mobile,0
484,69,female,130853,,43,10,tablet,0
485,33,female,128417,10,59,14,tablet,0
486,30,male,,18,16,17,desktop,1
487,67,male,41159,10,5,14,mobile,1
488,,male,109788,1,44,20,mobile,0
489,47,male,,30,49,13,desktop,0
490,36,male,125722,14,2,2,tablet,0
491,,nan,55139,4,10,9,tablet,1
492,,female,72452,,47,3,desktop,1
493,45,female,42205,28,,4,mobile,0
494,43,male,76955,29,20,12,tablet,0
495,54,male,,20,29,15,desktop,1
496,43,nan,29840,20,25,20,desktop,0
497,70,female,60768,,17,8,desktop,0
498,40,male,160533,3,51,18,tablet,0
499,26,female,40927,26,51,5,tablet,0
500,29,female,118622,22,13,2,desktop,0
501,70,male,35329,9,45,9,desktop,1
502,18,nan,35791,,16,14,tablet,1
503,18,female,,1,54,1,tablet,0
504,64,female,148885,14,53,20,tablet,1
505,51,male,165444,3,35,4,tablet,0
506,49,female,199541,28,,17,tablet,0
507,65,female,129554,15,59,10,desktop,0
508,42,female,150436,,39,2,tablet,1
509,57,male,,26,3,,tablet,0
510,62,male,54370,6,,19,desktop,1
511,70,female,,24,40,9,desktop,0
512,18,male,110941,24,50,19,mobile,0
513,33,female,174775,11,53,19,tablet,0
514,56,male,166306,2,46,,mobile,1
515,22,male,158604,,52,3,mobile,0
516,39,female,55416,8,,6,desktop,1
517,46,female,92439,7,29,6,desktop,0
518,20,female,38242,22,5,,mobile,0
519,29,male,99324,5,,13,mobile,0
520,,female,55249,29,10,13,mobile,1
521,33,male,,,31,7,mobile,0
522,68,male,115049,9,11,,tablet,0
523,54,female,105078,22,17,,mobile,0
524,39,male,52294,26,40,1,desktop,0
525,46,female,154756,24,41,20,mobile,0
526,31,male,174867,5,8,13,mobile,1
527,45,female,161503,14,52,8,desktop,1
528,22,male,109627,29,60,9,mobile,0
529,64,male,110381,13,2,1,desktop,1
530,66,female,110027,25,4,9,tablet,0
531,47,male,90366,18,16,20,tablet,0
532,63,female,114176,12,41,11,desktop,0
533,69,male,139667,13,58,20,tablet,0
534,22,male,92870,2,41,,tablet,1
535,29,male,67387,3,21,16,tablet,0
536,33,female,29304,25,5,14,desktop,0
537,,female,37032,28,58,20,mobile,0
538,43,female,111291,13,35,18,tablet,0
539,65,female,132889,30,14,9,mobile,0
540,38,female,79486,13,15,1,mobile,0
541,56,nan,85552,25,6,3,tablet,0
542,53,male,180726,,16,20,tablet,0
543,50,female,59244,,23,1,mobile,1
544,47,male,157014,8,60,3,tablet,1
545,54,male,70697,13,31,14,desktop,0
546,40,nan,146031,7,42,14,desktop,0
547,27,male,22693,10,46,13,tablet,1
548,22,female,101098,,,1,mobile,0
549,53,male,26259,17,41,15,tablet,1
550,51,female,139746,3,55,20,desktop,0
551,69,female,127772,3,19,7,mobile,1
552,48,male,137928,11,12,16,tablet,0
553,27,female,156014,17,45,20,desktop,0
554,36,male,,28,55,1,mobile,1
555,49,male,122092,7,13,15,desktop,1
556,18,male,,2,49,20,tablet,1
557,22,female,178455,17,2,15,tablet,0
558,62,female,43404,6,20,,desktop,0
559,21,female,92656,30,55,6,desktop,1
560,33,male,,0,31,6,desktop,0
561,,male,120965,,,,desktop,0
562,33,male,76332,,21,16,desktop,1
563,19,female,190491,12,8,18,mobile,1
564,66,nan,123182,28,39,13,tablet,0
565,45,male,131395,2,37,12,mobile,0
566,49,female,122619,28,29,18,desktop,1
567,44,female,128269,2,,10,mobile,0
568,37,nan,93844,14,35,14,tablet,0
569,41,male,190314,20,45,20,desktop,0
570,29,male,144983,29,38,11,desktop,1
571,67,male,54142,18,26,18,tablet,0
572,52,female,129699,27,11,,mobile,1
573,,female,116226,3,36,17,tablet,0
574,50,female,27393,12,35,3,tablet,0
575,68,female,122281,12,4,1,mobile,0
576,60,male,179965,,3,,mobile,0
577,54,nan,29388,18,45,6,desktop,0
578,29,male,82969,15,47,19,desktop,1
579,20,male,,6,12,4,desktop,0
580,18,male,,2,32,,tablet,0
581,50,male,175798,29,47,12,mobile,0
582,57,male,99544,25,26,8,mobile,0
583,,male,151183,19,43,20,desktop,0
584,60,female,135370,1,,7,tablet,1
585,61,female,37545,17,13,7,tablet,0
586,46,male,191240,24,44,7,mobile,1
587,30,female,153451,10,38,14,mobile,0
588,,male,107346,0,29,18,mobile,1
589,48,male,192192,15,55,19,mobile,0
590,63,nan,37809,16,52,20,tablet,1
591,19,male,47967,15,51,19,desktop,1
592,68,male,160820,9,19,18,mobile,0
593,67,male,43424,16,59,,mobile,0
594,52,male,174986,29,,16,mobile,1
595,40,male,128411,2,48,3,tablet,0
596,34,male,170563,17,41,2,desktop,0
597,43,male,90069,18,59,15,tablet,0
598,25,female,109119,13,27,20,desktop,1
599,46,female,57049,20,46,11,tablet,1
600,43,male,,24,60,19,mobile,0
601,27,nan,115797,1,31,18,mobile,0
602,43,male,181017,11,3,11,desktop,1
603,51,male,,10,35,3,tablet,1
604,68,male,179482,30,24,,desktop,0
605,58,male,97734,29,52,6,tablet,0
606,24,female,158241,16,7,,mobile,0
607,21,female,191201,26,51,4,desktop,0
608,70,female,117445,5,56,12,desktop,1
609,67,female,23830,18,,4,mobile,1
610,62,male,106940,12,,2,mobile,0
611,28,female,178829,6,1,12,mobile,1
612,46,male,83867,21,44,13,mobile,1
613,53,male,186722,10,53,16,mobile,0
614,42,female,184838,6,6,4,mobile,0
615,38,male,52419,12,39,8,tablet,0
616,53,female,,12,34,,tablet,0
617,27,female,167318,20,18,14,desktop,0
618,54,female,44996,0,25,,tablet,0
619,26,female,,29,15,,desktop,1
620,41,female,154137,18,47,10,tablet,1
621,52,male,30467,18,32,10,tablet,0
622,,female,172079,22,42,6,mobile,0
623,52,female,48702,,49,16,tablet,0
624,65,male,114369,13,50,4,tablet,1
625,53,female,95569,28,18,9,tablet,1
626,35,female,73952,2,31,10,mobile,0
627,66,male,54169,26,29,5,mobile,1
628,56,male,36829,20,15,10,tablet,0
629,,female,24522,19,58,16,desktop,0
630,41,male,105687,3,23,11,tablet,0
631,40,female,186391,28,38,6,mobile,0
632,49,male,140334,6,41,7,mobile,0
633,54,female,177615,0,11,,desktop,0
634,29,female,138576,22,15,13,mobile,0
635,66,female,,30,23,17,mobile,0
636,,male,181545,23,3,,tablet,0
637,40,female,27699,18,,8,desktop,0
638,,male,88165,30,,16,mobile,0
639,52,female,191527,2,24,3,mobile,0
640,58,female,95692,19,49,5,tablet,0
641,47,nan,37441,14,11,,tablet,0
642,34,female,50716,12,30,18,tablet,1
643,66,female,82175,21,50,,tablet,0
644,37,male,26834,13,11,14,desktop,0
645,65,male,38179,,60,11,tablet,1
646,42,male,46219,0,39,18,desktop,0
647,39,female,123153,30,1,8,mobile,0
648,30,female,166854,12,12,12,mobile,0
649,36,male,94967,3,,19,tablet,0
650,,female,122454,11,25,20,tablet,0
651,53,female,29496,6,8,2,tablet,0
652,29,female,190310,26,,9,mobile,0
653,58,male,66025,1,43,9,mobile,1
654,36,male,79886,16,30,14,mobile,1
655,29,male,,0,40,15,desktop,0
656,26,male,23712,,32,11,mobile,0
657,24,male,114067,13,44,13,tablet,0
658,45,female,65489,29,35,5,desktop,0
659,31,female,52664,21,21,,desktop,0
660,48,female,163492,27,31,5,desktop,1
661,69,female,,20,,1,mobile,0
662,36,male,95033,0,,18,mobile,1
663,64,male,137862,25,44,8,mobile,0
664,33,female,99030,2,8,17,mobile,1
665,70,male,83910,30,59,11,tablet,0
666,22,nan,141075,10,23,11,desktop,0
667,52,female,,6,23,3,desktop,0
668,29,female,155204,,42,8,desktop,0
669,42,female,147153,24,58,8,desktop,1
670,69,male,61598,28,55,3,desktop,0
671,38,female,171623,8,33,,tablet,1
672,53,male,88206,30,13,19,tablet,1
673,70,nan,94900,21,39,14,desktop,0
674,40,female,46296,2,52,18,desktop,1
675,33,female,169138,0,60,3,mobile,0
676,56,female,179964,18,35,20,desktop,0
677,62,male,95577,25,16,14,tablet,1
